Position;miRNA ID;Plate
H23;hsa-miR-920;Plate 2
H24;hsa-miR-922;Plate 2
I01;hsa-miR-92b*;Plate 2
I02;hsa-miR-936;Plate 2
I03;hsa-miR-1294;Plate 2
I04;hsa-miR-1295;Plate 2
I05;hsa-miR-1296;Plate 2
I06;hsa-miR-1297;Plate 2
I07;hsa-miR-943;Plate 2
I08;hsa-miR-1298;Plate 2
I09;hsa-miR-96*;Plate 2
I10;hsa-miR-103a-2*;Plate 2
I11;hsa-miR-105*;Plate 2
I12;hsa-miR-106a*;Plate 2
I13;hsa-miR-1197;Plate 2
I14;hsa-miR-122*;Plate 2
I15;hsa-miR-1227;Plate 2
I16;hsa-miR-1231;Plate 2
I17;hsa-miR-1233;Plate 2
I18;hsa-miR-1236;Plate 2
I19;hsa-miR-1237;Plate 2
I20;hsa-miR-1238;Plate 2
I21;hsa-miR-124*;Plate 2
I22;hsa-miR-1243;Plate 2
I23;hsa-miR-1244;Plate 2
I24;hsa-miR-1245;Plate 2
J01;hsa-miR-1247;Plate 2
J02;hsa-miR-1249;Plate 2
J03;hsa-miR-1250;Plate 2
J04;hsa-miR-1251;Plate 2
J05;hsa-miR-1252;Plate 2
J06;hsa-miR-1253;Plate 2
J07;hsa-miR-144*;Plate 2
J08;hsa-miR-146a*;Plate 2
J09;hsa-miR-1471;Plate 2
J10;hsa-miR-148a*;Plate 2
J11;hsa-miR-148b*;Plate 2
J12;hsa-miR-154*;Plate 2
J13;hsa-miR-155*;Plate 2
J14;hsa-miR-1537;Plate 2
J15;hsa-miR-18b*;Plate 2
J16;hsa-miR-192*;Plate 2
J17;hsa-miR-194*;Plate 2
J18;hsa-miR-195*;Plate 2
J19;hsa-miR-196b*;Plate 2
J20;hsa-miR-20b*;Plate 2
J21;hsa-miR-218-1*;Plate 2
J22;hsa-miR-218-2*;Plate 2
J23;hsa-miR-223*;Plate 2
J24;hsa-miR-23a*;Plate 2
K01;hsa-miR-23b*;Plate 2
K02;hsa-miR-26a-1*;Plate 2
K03;hsa-miR-26a-2*;Plate 2
K04;hsa-miR-32*;Plate 2
K05;hsa-miR-335*;Plate 2
K06;hsa-miR-33a*;Plate 2
K07;hsa-miR-34a*;Plate 2
K08;hsa-miR-374a*;Plate 2
K09;hsa-miR-449b*;Plate 2
K10;hsa-miR-497*;Plate 2
K11;hsa-miR-499-3p;Plate 2
K12;hsa-miR-499-5p;Plate 2
K13;hsa-miR-505*;Plate 2
K14;hsa-miR-545*;Plate 2
K15;hsa-miR-548g;Plate 2
K16;hsa-miR-548n;Plate 2
K17;hsa-miR-556-3p;Plate 2
K18;hsa-miR-569;Plate 2
K19;hsa-miR-596;Plate 2
K20;hsa-miR-1538;Plate 2
K21;hsa-miR-599;Plate 2
K22;hsa-miR-601;Plate 2
K23;hsa-miR-606;Plate 2
K24;hsa-miR-615-5p;Plate 2
L01;hsa-miR-620;Plate 2
L02;hsa-miR-625*;Plate 2
L03;hsa-miR-631;Plate 2
L04;hsa-miR-634;Plate 2
L05;hsa-miR-1539;Plate 2
L06;hsa-miR-655;Plate 2
L07;hsa-miR-656;Plate 2
L08;hsa-miR-661;Plate 2
L09;hsa-miR-664*;Plate 2
L10;hsa-miR-7-1*;Plate 2
L11;hsa-miR-7-2*;Plate 2
L12;hsa-miR-1825;Plate 2
L13;hsa-miR-892a;Plate 2
L14;hsa-miR-99a*;Plate 2
L15;hsa-miR-1255a;Plate 2
L16;hsa-miR-1256;Plate 2
L17;hsa-miR-1257;Plate 2
L18;hsa-miR-1258;Plate 2
L19;hsa-miR-1260;Plate 2
L20;hsa-miR-1262;Plate 2
L21;hsa-miR-1263;Plate 2
L22;hsa-miR-1264;Plate 2
L23;hsa-miR-1265;Plate 2
L24;hsa-miR-1266;Plate 2
M01;hsa-miR-1267;Plate 2
M02;hsa-miR-1269;Plate 2
M03;hsa-miR-1270;Plate 2
M04;hsa-miR-1271;Plate 2
M05;hsa-miR-1272;Plate 2
M06;hsa-miR-1273;Plate 2
M07;hsa-miR-1276;Plate 2
M08;hsa-miR-1277;Plate 2
M09;hsa-miR-544b;Plate 2
M10;hsa-miR-3193;Plate 2
M11;hsa-miR-592;Plate 2
M12;hsa-miR-3159;Plate 2
M13;hsa-miR-2115;Plate 2
M14;hsa-miR-302d;Plate 2
M15;hsa-miR-548u;Plate 2
M16;hsa-miR-3190;Plate 2
M17;hsa-miR-765;Plate 2
M18;hsa-miR-3690;Plate 2
M19;hsa-miR-200c*;Plate 2
M20;hsa-miR-3150a-3p;Plate 2
M21;hsa-miR-3153;Plate 2
M22;hsa-miR-4278;Plate 2
M23;hsa-miR-3151;Plate 2
M24;hsa-miR-3157-5p;Plate 2
N01;hsa-miR-3148;Plate 2
N02;hsa-miR-4317;Plate 2
N03;hsa-miR-3133;Plate 2
N04;hsa-miR-3136-5p;Plate 2
N05;hsa-miR-516a-5p;Plate 2
N06;hsa-miR-3614-3p;Plate 2
N07;hsa-miR-323b-5p;Plate 2
N08;hsa-miR-3131;Plate 2
N09;hsa-miR-4297;Plate 2
N10;hsa-miR-548b-5p;Plate 2
N11;hsa-miR-3129-5p;Plate 2
N12;hsa-miR-3191;Plate 2
N13;hsa-miR-183*;Plate 2
N14;hsa-miR-3916;Plate 2
N15;hsa-miR-19b-1*;Plate 2
N16;hsa-miR-2114;Plate 2
N17;hsa-miR-181a-2*;Plate 2
N18;hsa-miR-4298;Plate 2
N19;hsa-miR-367;Plate 2
N20;hsa-miR-3924;Plate 2
N21;hsa-miR-3655;Plate 2
N22;hsa-miR-3152-3p;Plate 2
N23;hsa-miR-3144-5p;Plate 2
N24;hsa-miR-500a;Plate 2
O01;hsa-miR-3673;Plate 2
O02;hsa-miR-3180-3p;Plate 2
O03;hsa-miR-3145-3p;Plate 2
O04;hsa-miR-3657;Plate 2
O05;hsa-miR-3941;Plate 2
O06;hsa-miR-4264;Plate 2
O07;hsa-miR-3923;Plate 2
O08;hsa-miR-548t;Plate 2
O09;hsa-miR-4271;Plate 2
O10;hsa-miR-4318;Plate 2
O11;hsa-miR-3116;Plate 2
O12;hsa-miR-10a*;Plate 2
O13;hsa-miR-3065-3p;Plate 2
O14;hsa-miR-874;Plate 2
O15;hsa-miR-552;Plate 2
O16;hsa-miR-196a*;Plate 2
O17;hsa-miR-15a*;Plate 2
O18;hsa-miR-3141;Plate 2
O19;hsa-miR-3179;Plate 2
O20;hsa-miR-30d*;Plate 2
O21;hsa-miR-493*;Plate 2
O22;hsa-miR-1976;Plate 2
O23;hsa-miR-4274;Plate 2
O24;hsa-miR-3165;Plate 2
P01;hsa-miR-4308;Plate 2
P02;hsa-miR-520a-3p;Plate 2
P03;hsa-miR-3160-3p;Plate 2
P04;hsa-miR-4316;Plate 2
P05;hsa-miR-3144-3p;Plate 2
P06;hsa-miR-3138;Plate 2
P07;hsa-miR-136;Plate 2
P08;hsa-miR-509-3p;Plate 2
P09;hsa-miR-589*;Plate 2
P10;hsa-miR-3910;Plate 2
P11;hsa-miR-548q;Plate 2
P12;hsa-miR-2278;Plate 2
P13;cel-miR-39;Plate 2
P14;cel-miR-39;Plate 2
P15;SNORD61;Plate 2
P16;SNORD68;Plate 2
P17;SNORD72;Plate 2
P18;SNORD95;Plate 2
P19;SNORD96A;Plate 2
P20;RNU6-2;Plate 2
P21;miRTC;Plate 2
P22;miRTC;Plate 2
P23;PPC;Plate 2
P24;PPC;Plate 2
A01;hsa-miR-4315;Plate 3
A02;hsa-miR-644;Plate 3
A03;hsa-miR-2110;Plate 3
A04;hsa-miR-27b*;Plate 3
A05;hsa-miR-3607-3p;Plate 3
A06;hsa-miR-3173-3p;Plate 3
A07;hsa-miR-320e;Plate 3
A08;hsa-miR-548x;Plate 3
A09;hsa-miR-3613-3p;Plate 3
A10;hsa-miR-3154;Plate 3
A11;hsa-miR-302e;Plate 3
A12;hsa-miR-3913-5p;Plate 3
A13;hsa-miR-924;Plate 3
A14;hsa-miR-3670;Plate 3
A15;hsa-miR-2355-3p;Plate 3
A16;hsa-miR-3607-5p;Plate 3
A17;hsa-miR-3667-5p;Plate 3
A18;hsa-miR-518e;Plate 3
A19;hsa-miR-4276;Plate 3
A20;hsa-miR-624;Plate 3
A21;hsa-miR-3612;Plate 3
A22;hsa-miR-4254;Plate 3
A23;hsa-miR-4260;Plate 3
A24;hsa-miR-885-3p;Plate 3
B01;hsa-miR-4324;Plate 3
B02;hsa-miR-3938;Plate 3
B03;hsa-miR-642b;Plate 3
B04;hsa-miR-548v;Plate 3
B05;hsa-miR-4262;Plate 3
B06;hsa-miR-3118;Plate 3
B07;hsa-miR-3919;Plate 3
B08;hsa-miR-3137;Plate 3
B09;hsa-miR-3605-3p;Plate 3
B10;hsa-miR-3666;Plate 3
B11;hsa-miR-645;Plate 3
B12;hsa-miR-617;Plate 3
B13;hsa-miR-3149;Plate 3
B14;hsa-miR-323b-3p;Plate 3
B15;hsa-miR-4255;Plate 3
B16;hsa-miR-551b*;Plate 3
B17;hsa-miR-3912;Plate 3
B18;hsa-miR-3925-5p;Plate 3
B19;hsa-miR-4285;Plate 3
B20;hsa-miR-4252;Plate 3
B21;hsa-miR-1193;Plate 3
B22;hsa-miR-483-5p;Plate 3
B23;hsa-miR-4295;Plate 3
B24;hsa-miR-3669;Plate 3
C01;hsa-miR-1260b;Plate 3
C02;hsa-miR-3667-3p;Plate 3
C03;hsa-miR-604;Plate 3
C04;hsa-miR-1248;Plate 3
C05;hsa-miR-4312;Plate 3
C06;hsa-miR-154;Plate 3
C07;hsa-miR-4326;Plate 3
C08;hsa-miR-4304;Plate 3
C09;hsa-miR-3918;Plate 3
C10;hsa-miR-3674;Plate 3
C11;hsa-miR-3174;Plate 3
C12;hsa-miR-3671;Plate 3
C13;hsa-miR-466;Plate 3
C14;hsa-miR-3175;Plate 3
C15;hsa-miR-4294;Plate 3
C16;hsa-miR-3182;Plate 3
C17;hsa-miR-548aa;Plate 3
C18;hsa-miR-3678-5p;Plate 3
C19;hsa-miR-3124-5p;Plate 3
C20;hsa-miR-3162-5p;Plate 3
C21;hsa-miR-3684;Plate 3
C22;hsa-miR-3659;Plate 3
C23;hsa-miR-4325;Plate 3
C24;hsa-miR-34c-3p;Plate 3
D01;hsa-miR-2355-5p;Plate 3
D02;hsa-miR-548y;Plate 3
D03;hsa-miR-553;Plate 3
D04;hsa-miR-676;Plate 3
D05;hsa-miR-3199;Plate 3
D06;hsa-miR-670;Plate 3
D07;hsa-miR-16-2*;Plate 3
D08;hsa-miR-187*;Plate 3
D09;hsa-miR-593*;Plate 3
D10;hsa-miR-3130-5p;Plate 3
D11;hsa-miR-4293;Plate 3
D12;hsa-miR-3921;Plate 3
D13;hsa-miR-3682-3p;Plate 3
D14;hsa-miR-548s;Plate 3
D15;hsa-miR-147b;Plate 3
D16;hsa-miR-3907;Plate 3
D17;hsa-miR-3943;Plate 3
D18;hsa-miR-3675-5p;Plate 3
D19;hsa-miR-378b;Plate 3
D20;hsa-miR-3685;Plate 3
D21;hsa-miR-508-5p;Plate 3
D22;hsa-miR-3606;Plate 3
D23;hsa-miR-3120-3p;Plate 3
D24;hsa-miR-3194-5p;Plate 3
E01;hsa-miR-377;Plate 3
E02;hsa-miR-1912;Plate 3
E03;hsa-miR-3164;Plate 3
E04;hsa-miR-182*;Plate 3
E05;hsa-miR-4261;Plate 3
E06;hsa-miR-490-5p;Plate 3
E07;hsa-miR-3681*;Plate 3
E08;hsa-miR-640;Plate 3
E09;hsa-miR-3713;Plate 3
E10;hsa-miR-3616-3p;Plate 3
E11;hsa-miR-3616-5p;Plate 3
E12;hsa-miR-4288;Plate 3
E13;hsa-miR-4273;Plate 3
E14;hsa-miR-4291;Plate 3
E15;hsa-miR-654-5p;Plate 3
E16;hsa-miR-764;Plate 3
E17;hsa-miR-3945;Plate 3
E18;hsa-miR-2117;Plate 3
E19;hsa-miR-4283;Plate 3
E20;hsa-miR-3186-3p;Plate 3
E21;hsa-miR-3662;Plate 3
E22;hsa-miR-4311;Plate 3
E23;hsa-miR-3163;Plate 3
E24;hsa-miR-3935;Plate 3
F01;hsa-miR-2276;Plate 3
F02;hsa-miR-514b-3p;Plate 3
F03;hsa-miR-4307;Plate 3
F04;hsa-miR-100*;Plate 3
F05;hsa-miR-1255b;Plate 3
F06;hsa-miR-1827;Plate 3
F07;hsa-miR-4328;Plate 3
F08;hsa-miR-3200-5p;Plate 3
F09;hsa-miR-3122;Plate 3
F10;hsa-miR-3654;Plate 3
F11;hsa-miR-1273d;Plate 3
F12;hsa-miR-4282;Plate 3
F13;hsa-miR-374c;Plate 3
F14;hsa-miR-296-3p;Plate 3
F15;hsa-miR-3146;Plate 3
F16;hsa-miR-4280;Plate 3
F17;hsa-miR-548w;Plate 3
F18;hsa-miR-3147;Plate 3
F19;hsa-miR-887;Plate 3
F20;hsa-miR-3143;Plate 3
F21;hsa-miR-4268;Plate 3
F22;hsa-miR-1911*;Plate 3
F23;hsa-miR-519b-3p;Plate 3
F24;hsa-miR-3680;Plate 3
G01;hsa-miR-16-1*;Plate 3
G02;hsa-miR-4277;Plate 3
G03;hsa-miR-3917;Plate 3
G04;hsa-miR-668;Plate 3
G05;hsa-miR-3185;Plate 3
G06;hsa-miR-500a*;Plate 3
G07;hsa-miR-3926;Plate 3
G08;hsa-miR-892b;Plate 3
G09;hsa-miR-3140-3p;Plate 3
G10;hsa-miR-3611;Plate 3
G11;hsa-miR-3142;Plate 3
G12;hsa-miR-26b*;Plate 3
G13;hsa-miR-744*;Plate 3
G14;hsa-miR-1914;Plate 3
G15;hsa-miR-1909*;Plate 3
G16;hsa-miR-3676;Plate 3
G17;hsa-miR-4302;Plate 3
G18;hsa-miR-338-5p;Plate 3
G19;hsa-miR-339-3p;Plate 3
G20;hsa-miR-2114*;Plate 3
G21;hsa-miR-4286;Plate 3
G22;hsa-miR-3618;Plate 3
G23;hsa-miR-3683;Plate 3
G24;hsa-miR-4314;Plate 3
H01;hsa-miR-3132;Plate 3
H02;hsa-miR-520a-5p;Plate 3
H03;hsa-miR-1910;Plate 3
H04;hsa-miR-3679-3p;Plate 3
H05;hsa-miR-3658;Plate 3
H06;hsa-miR-3915;Plate 3
H07;hsa-miR-3688-3p;Plate 3
H08;hsa-miR-4253;Plate 3
H09;hsa-miR-4301;Plate 3
H10;hsa-miR-3158-3p;Plate 3
H11;hsa-miR-3202;Plate 3
H12;hsa-miR-3127-5p;Plate 3
H13;hsa-miR-449c*;Plate 3
H14;hsa-miR-214*;Plate 3
H15;hsa-miR-3942-5p;Plate 3
H16;hsa-miR-3691-5p;Plate 3
H17;hsa-miR-3934;Plate 3
H18;hsa-miR-4257;Plate 3
H19;hsa-miR-3672;Plate 3
H20;hsa-miR-125a-3p;Plate 3
H21;hsa-miR-3651;Plate 3
H22;hsa-miR-2116;Plate 3
H23;hsa-miR-507;Plate 3
H24;hsa-miR-2909;Plate 3
I01;hsa-miR-2113;Plate 3
I02;hsa-miR-3622b-3p;Plate 3
I03;hsa-miR-4289;Plate 3
I04;hsa-miR-3687;Plate 3
I05;hsa-miR-1261;Plate 3
I06;hsa-miR-4305;Plate 3
I07;hsa-miR-3692;Plate 3
I08;hsa-miR-941;Plate 3
I09;hsa-miR-2052;Plate 3
I10;hsa-miR-199b-5p;Plate 3
I11;hsa-miR-3130-3p;Plate 3
I12;hsa-miR-23c;Plate 3
I13;hsa-miR-3119;Plate 3
I14;hsa-miR-4272;Plate 3
I15;hsa-miR-3200-3p;Plate 3
I16;hsa-miR-378c;Plate 3
I17;hsa-miR-3168;Plate 3
I18;hsa-miR-107;Plate 3
I19;hsa-miR-330-5p;Plate 3
I20;hsa-miR-181c*;Plate 3
I21;hsa-miR-3647-3p;Plate 3
I22;hsa-miR-3939;Plate 3
I23;hsa-miR-2115*;Plate 3
I24;hsa-miR-3117-3p;Plate 3
J01;hsa-miR-130a*;Plate 3
J02;hsa-miR-934;Plate 3
J03;hsa-miR-3622a-5p;Plate 3
J04;hsa-miR-302f;Plate 3
J05;hsa-miR-200b;Plate 3
J06;hsa-miR-3201;Plate 3
J07;hsa-miR-3922-3p;Plate 3
J08;hsa-miR-92b;Plate 3
J09;hsa-miR-3605-5p;Plate 3
J10;hsa-miR-3909;Plate 3
J11;hsa-miR-550a;Plate 3
J12;hsa-miR-4310;Plate 3
J13;hsa-miR-586;Plate 3
J14;hsa-miR-598;Plate 3
J15;hsa-miR-3914;Plate 3
J16;hsa-miR-3678-3p;Plate 3
J17;hsa-miR-525-5p;Plate 3
J18;hsa-miR-4319;Plate 3
J19;hsa-miR-3679-5p;Plate 3
J20;hsa-miR-4300;Plate 3
J21;hsa-miR-517*;Plate 3
J22;hsa-miR-4265;Plate 3
J23;hsa-miR-3150b-3p;Plate 3
J24;hsa-miR-3661;Plate 3
K01;hsa-miR-2116*;Plate 3
K02;hsa-miR-1293;Plate 3
K03;hsa-miR-921;Plate 3
K04;hsa-miR-4279;Plate 3
K05;hsa-miR-4303;Plate 3
K06;hsa-miR-3126-3p;Plate 3
K07;hsa-miR-3176;Plate 3
K08;hsa-miR-676*;Plate 3
K09;hsa-miR-3167;Plate 3
K10;hsa-miR-3166;Plate 3
K11;hsa-miR-3927;Plate 3
K12;hsa-miR-3126-5p;Plate 3
K13;hsa-miR-3184;Plate 3
K14;hsa-miR-3065-5p;Plate 3
K15;hsa-miR-550b;Plate 3
K16;hsa-miR-3617;Plate 3
K17;hsa-miR-3649;Plate 3
K18;hsa-miR-3647-5p;Plate 3
K19;hsa-miR-3650;Plate 3
K20;hsa-miR-4290;Plate 3
K21;hsa-miR-3161;Plate 3
K22;hsa-miR-642a;Plate 3
K23;hsa-miR-3128;Plate 3
K24;hsa-miR-4267;Plate 3
L01;hsa-miR-4299;Plate 3
L02;hsa-miR-582-3p;Plate 3
L03;hsa-miR-877*;Plate 3
L04;hsa-miR-3908;Plate 3
L05;hsa-miR-3681;Plate 3
L06;hsa-miR-3139;Plate 3
L07;hsa-miR-3664-5p;Plate 3
L08;hsa-miR-101*;Plate 3
L09;hsa-miR-616;Plate 3
L10;hsa-miR-550a*;Plate 3
L11;hsa-miR-3121-3p;Plate 3
L12;hsa-miR-1914*;Plate 3
L13;hsa-miR-3135;Plate 3
L14;hsa-miR-514b-5p;Plate 3
L15;hsa-miR-3652;Plate 3
L16;hsa-miR-3714;Plate 3
L17;hsa-miR-3186-5p;Plate 3
L18;hsa-miR-4306;Plate 3
L19;hsa-miR-3125;Plate 3
L20;hsa-miR-4251;Plate 3
L21;hsa-miR-449c;Plate 3
L22;hsa-miR-890;Plate 3
L23;hsa-miR-4258;Plate 3
L24;hsa-miR-761;Plate 3
M01;hsa-miR-4309;Plate 3
M02;hsa-miR-3177-3p;Plate 3
M03;hsa-miR-3668;Plate 3
M04;hsa-miR-4323;Plate 3
M05;hsa-miR-3660;Plate 3
M06;hsa-miR-3156-5p;Plate 3
M07;hsa-miR-4275;Plate 3
M08;hsa-miR-3074-3p;Plate 3
M09;hsa-miR-3920;Plate 3
M10;hsa-miR-4296;Plate 3
M11;hsa-miR-4263;Plate 3
M12;hsa-miR-876-5p;Plate 3
M13;hsa-miR-3675-3p;Plate 3
M14;hsa-miR-3170;Plate 3
M15;hsa-miR-759;Plate 3
M16;hsa-miR-204;Plate 3
M17;hsa-miR-3171;Plate 3
M18;hsa-miR-1911;Plate 3
M19;hsa-miR-4330;Plate 3
M20;hsa-miR-3653;Plate 3
M21;hsa-miR-3134;Plate 3
M22;hsa-miR-3115;Plate 3
M23;hsa-let-7e*;Plate 3
M24;hsa-miR-4287;Plate 3
N01;hsa-miR-517a;Plate 3
N02;hsa-miR-517c;Plate 3
N03;hsa-miR-17 hsa-miR-106a;Plate 3
N04;hsa-miR-199a-3p hsa-miR-199b-3p;Plate 3
N05;hsa-miR-374b hsa-miR-374c;Plate 3
N06;hsa-miR-516a-3p hsa-miR-516b*;Plate 3
N07;hsa-miR-520c-3p hsa-miR-520f;Plate 3
N08;hsa-miR-3155 hsa-miR-3155b;Plate 3
N09;hsa-miR-548am hsa-miR-548p;Plate 3
N10;hsa-miR-3689a-5p hsa-miR-3689b hsa-miR-3689e;Plate 3
N11;blank;Plate 3
N12;blank;Plate 3
N13;blank;Plate 3
N14;blank;Plate 3
N15;blank;Plate 3
N16;blank;Plate 3
N17;blank;Plate 3
N18;blank;Plate 3
N19;blank;Plate 3
N20;blank;Plate 3
N21;blank;Plate 3
N22;blank;Plate 3
N23;blank;Plate 3
N24;blank;Plate 3
O01;blank;Plate 3
O02;blank;Plate 3
O03;blank;Plate 3
O04;blank;Plate 3
O05;blank;Plate 3
O06;blank;Plate 3
O07;blank;Plate 3
O08;blank;Plate 3
O09;blank;Plate 3
O10;blank;Plate 3
O11;blank;Plate 3
O12;blank;Plate 3
O13;blank;Plate 3
O14;blank;Plate 3
O15;blank;Plate 3
O16;blank;Plate 3
O17;blank;Plate 3
O18;blank;Plate 3
O19;blank;Plate 3
O20;blank;Plate 3
O21;blank;Plate 3
O22;blank;Plate 3
O23;blank;Plate 3
O24;blank;Plate 3
P01;blank;Plate 3
P02;blank;Plate 3
P03;blank;Plate 3
P04;blank;Plate 3
P05;blank;Plate 3
P06;blank;Plate 3
P07;blank;Plate 3
P08;blank;Plate 3
P09;blank;Plate 3
P10;blank;Plate 3
P11;blank;Plate 3
P12;blank;Plate 3
P13;cel-miR-39;Plate 3
P14;cel-miR-39;Plate 3
P15;SNORD61;Plate 3
P16;SNORD68;Plate 3
P17;SNORD72;Plate 3
P18;SNORD95;Plate 3
P19;SNORD96A;Plate 3
P20;RNU6-2;Plate 3
P21;miRTC;Plate 3
P22;miRTC;Plate 3
P23;PPC;Plate 3
P24;PPC;Plate 3
